date,rsfull_all,rsfull_taipei,rsfull_taichung,rsfull_keelung,rsfull_tainan,rsfull_kaohsiung,rsfull_newtaipei,rsfull_taoyuan,rsfull_chiayi,rsfull_hsinchu,rsfull_yunlin,rsfull_pingtung,rsfull_hualien,rsfull_taitung
2000q1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
2000q2,1.0054822870288864,0.9576019557516235,1.0487818792557115,0.9417902624805683,0.962544871565608,1.1194354181960093,1.0247036949402515,1.0166843951005498,0.9808051130555175,0.9061452921406346,0.9687319021312769,0.9899158481813484,1.6229410243697644,1.8155014838864514
2000q3,0.9819152303484114,0.9619116290957276,0.9509827845517238,0.9378405573544045,0.9548608216776039,1.1411329719110594,1.0338747059783526,1.0488737412754485,0.9316415253304999,0.8031734030584922,0.9509816748762856,0.9314465841508227,1.2132983294710198,1.3632607008076212
2000q4,0.972246782080605,0.9301594084125582,0.9699241635539365,0.9120246771411691,0.9568460456080234,1.0255742736037123,1.0147701965233886,1.2806889631560165,0.9322391351595013,0.8272726507574072,0.945340965972049,0.8254185717496956,,
2001q1,0.9556332388178376,0.8803120517851649,1.031521225796236,0.858786209426253,0.9069729866375048,1.0545479202162251,1.0306742063505057,1.1530162650788138,0.9870985636971986,1.1203302020046924,0.8340519479686481,0.9340957598325882,,1.4280913764920227
2001q2,0.9457094230791332,0.8853929498007695,0.9923004803457967,0.8626408764522678,0.857098555040684,0.9039211559089958,0.9296956823172035,1.3102840052752887,0.9069508952408551,0.9112328501834278,0.8349783470802856,0.8231313995122109,1.4515551680515641,1.5979254671504712
2001q3,0.9306242580859599,0.843335614542527,0.9420726574221011,0.8790145406095583,0.8616990383742499,0.951373362752562,0.9233562059441445,1.4447668253738264,0.9201188377565449,0.8943775886374441,0.8198380257452658,0.7745028064652205,1.203465819244971,1.4280913764920227
2001q4,0.8907478239285196,0.8296868040873444,0.9507654580317331,0.8283215036837502,0.8680149531932783,0.9198623600378806,0.9565550218785368,0.957779696128175,0.869853337733738,1.1520000650169628,0.7324650343945727,0.9562709033047045,1.367012800905755,
2002q1,0.8951735924170169,0.8512721882913357,0.9890856972282401,0.8266999023646845,0.8238588608095546,0.8929971554663809,0.9520367434645725,0.926885768373702,0.861263291770975,1.1926589864542718,0.7958692609683463,0.8818450637516797,1.609744076575945,2.7937681257137985
2002q2,0.9014172732492645,0.8924053330251976,0.9108874952836322,0.892498033608365,0.8027525132485616,0.9280507352538211,0.9475203090137573,0.8971787903774152,0.8472578637108827,1.305384327275006,0.7978167943742064,0.9665145664822964,1.6657245124209092,1.9276980454705344
2002q3,0.8901585213648803,0.8514449726797784,0.9494456160095944,0.8388381277594162,0.81628358881075,0.936873711294324,0.952992433374768,0.9866747647145098,0.8501122237337434,1.167635370509626,0.7146196545316889,0.9818728594870416,1.5479340451211374,
2002q4,0.8621627646650285,0.8501254773453272,0.9182921517998649,0.808789076352335,0.7810391024886362,0.8430089364222826,0.9424561830410882,0.8607560045117132,0.8466694437512913,1.1159559773387315,0.7979347628385389,0.907530376494308,1.4243049022486218,
2003q1,0.8544019128316817,0.8447742559499372,0.8331168646861465,0.8284692153073474,0.7778449132352482,0.8777255459644031,0.9158931873144297,0.8048215561470615,0.7784176923097563,1.3899998505845332,0.7778049262600377,0.9175930762570024,2.150418120617345,1.1964031387304443
2003q2,0.845442454009923,0.8258341494252182,0.8739339662458689,0.7887662248537118,0.7502847513263989,0.86689282611344,0.9493354408510908,0.8715938480971838,0.8360322034489512,1.2166828121597009,0.8254173833104098,0.9121420322237462,1.0021986222168064,2.1664429579997497
2003q3,0.8502938392737087,0.8564884918894765,0.8799539821190423,0.7887543675670945,0.7697788779188472,0.8339526887282956,0.9624956335124966,0.8245408772309483,0.7994399546007036,1.0304217805590246,0.8343474749052304,0.8829337555915168,1.1349133316243978,1.4182957828008536
2003q4,0.8628289874858135,0.9043803353661153,0.9268896097458936,0.7710072260522267,0.8006092945402493,0.850879295641954,0.9514531894444658,0.7146487164755052,0.804307902214423,1.0348331853528212,0.8020988449892648,0.8584412537746041,1.102504946439504,1.2268369562687973
2004q1,0.8888826698349337,0.9416204837879772,0.8939357325965447,0.782473052393224,0.7742144923619989,0.7906255705036979,0.9841766247857254,0.8442193403407189,0.836307765372572,1.3682743976828944,0.8603876974988028,0.9257294580092095,1.0488844578093426,1.7490941375011988
2004q2,0.96613352842974,,0.8244192675305526,0.9553056013342494,0.8054036476127431,0.9292578905351976,1.0172191002183633,,,,,,,1.1917600348442279
2004q3,0.8928182500405419,0.966122661415062,0.9776523380452196,0.7876978203969703,0.8415958720009941,0.8905121591682191,0.9954352950746022,0.7784335005443627,0.8089798440002898,1.3273929553039654,0.8585603724003885,0.8013665266102795,1.0371175133727748,1.3303016029014165
2004q4,0.8959417961925535,0.9865224563790329,0.9163249910124155,0.783861663524369,0.8264698705616691,0.8142333145885235,1.0370379127440086,0.930244731187922,0.8274040564217735,1.3167083401976294,0.7540804774612477,0.7832347892281872,1.1713991779209132,1.3620286795557344
2005q1,0.930113821485802,1.022475158766433,0.9663468905253885,0.767067759947784,0.8353420767578997,0.8475157018325583,1.0474168058112068,0.8375774373362492,0.8566972682610083,1.3502741001646543,0.8480460601337807,0.8212378725015442,1.3765433893939756,
2005q2,0.9404210451436817,1.0308111925333152,0.9627804662882969,0.7655267322376946,0.8588053444709476,0.854663574296642,1.0962347823494472,0.77337315967972,0.8072004974603761,1.1816565642635344,0.8080245230241364,0.8648233936508963,1.1349554626522576,1.5965310442764156
2005q3,0.94317617828668,1.048289876271094,0.9638425279028031,0.7840686316131843,0.8855815281220216,0.8550465077232456,1.1287206221772932,0.7440994751799135,0.8223827654396514,1.2455968091960241,0.8041653242455432,0.8491630863440656,1.1160499162399364,1.2281923742165062
2005q4,0.9560792725382775,1.10477364206312,1.0111933848210113,0.826151530329181,0.8889486353464604,0.8223532904471632,1.0949945534153904,0.7634940108297272,0.8345612206293116,1.2924060689242354,0.824961463244709,0.921296467260102,1.1416042136008868,1.5169420563205191
2006q1,0.9684762626291583,1.1022785299878561,1.0215378375697903,0.805469735349758,0.8825852715814162,0.8419756593233787,1.0997072751584216,0.7630019519828184,0.8450112424971761,1.514632484474594,0.8453224414513919,1.0246875622971536,1.1038532560733991,1.267950911541367
2006q2,0.9874994983320496,1.1099260457886218,1.0768945369524827,0.8439349429541645,0.8937345440219427,0.8241494673437139,1.141729006694965,0.8265206667178212,0.8264773553568218,1.394072618928438,0.8043224288777271,0.9491034649514011,1.265228790549201,1.3449442105028033
2006q3,0.9902404018760448,1.1460945299342358,1.0599040625194471,0.8472832229283761,0.8996497617708222,0.8517260409390836,1.1078481311950485,0.7557244553197664,0.8759794925045546,1.3893739271863295,0.8776388571648484,0.9293842754284627,1.2931387286282643,1.2657540664030138
2006q4,1.0081312624341985,1.2195342000988831,1.0260471790297092,0.8030496401758035,0.889819078080266,0.8488476479801508,1.1638188063216572,0.8055740501038146,0.8646658912295107,1.3896607701351917,0.8886910677551014,0.9250742509286826,1.1110891303945714,1.082726270794639
2007q1,0.9801122350865695,1.2475115046418281,1.0341019145877024,0.8074626885053844,0.9108484597392398,0.6551059710073293,1.1354243415888312,0.8296826582426482,0.8115446895970678,1.3920330205865559,0.800261817297728,0.9687458867598064,1.1463376112324641,1.1147643880638127
2007q2,1.0424995965253627,1.2795848506391514,1.0286392596178355,0.8318524478054629,0.9075216638040453,0.87523138670054,1.1780260081523852,0.8704010178639376,0.8836502832089682,1.3977889136271655,0.8719495334839492,1.0635627482596637,1.021022760276034,1.1827864242517196
2007q3,1.0301072501869368,1.3273534289670714,1.0481457599727177,0.8350547942496055,0.8797959082580943,0.8042024153228523,1.1923664406289536,0.9097687988297363,0.8895320008693482,1.4157961220933626,0.8378090200823824,1.0242425087505236,1.058857992830617,1.1486421577021966
2007q4,1.0458707792084312,1.3238375990789022,1.052592870773823,0.8148493185606392,0.8773101039867645,0.803265523896491,1.218050986098069,0.866578590874665,0.8914693192520385,1.584416881816574,0.7729439474679414,0.9608422598147369,1.2415042354265233,1.2960048837747886
2008q1,1.06803819852187,1.357615989515001,1.1145033262066542,0.837975742408989,0.9292521610161809,0.7794281297112916,1.240203049639316,0.8301162964905976,0.8662955837646534,1.5448979000100114,0.9177905597026873,1.0085322487991062,1.1252491379677791,1.4186728606887495
2008q2,1.0882279630013822,1.3976646068939274,1.1106963959149585,0.8555774898154198,0.8982473879113635,0.7916558718204073,1.2595188393578942,0.8575256733956572,0.8672311393023212,1.5652470897476938,0.8960065378984255,0.9720650561178122,1.2387264542617753,1.3693023784080762
2008q3,1.0728651586854527,1.3841640109016036,1.03942915763501,0.8377974735488608,0.8772188078661501,0.7929739338933041,1.2732993446692835,0.8146260318288346,0.8842949827337783,1.4650867017029852,0.878982518686273,1.0984165931039915,1.2750997219896958,1.2546225766843726
2008q4,1.0491597752558715,1.3365906550853432,1.0401206408235182,0.8433517382662309,0.9011103898905479,0.7557523527877931,1.2242395676923181,0.7933591509500217,0.8471677090795909,1.5994178472258123,0.878793618462986,0.9870041912720471,1.1520868621420104,1.141070493381576
2009q1,1.03722466990638,1.2929006482720666,1.042510293596918,0.8361342069033582,0.9133163869256092,0.7496503935886467,1.229503065717985,0.8026865398486895,0.87384462546922,1.673710846632436,0.8347328806372842,0.9210005055023758,0.9894385633236483,1.7155331677684251
2009q2,1.0712612480958994,1.3794720764873345,1.0858271082971729,0.8186954147762768,0.875399825452447,0.7809101390571674,1.2586280672905237,0.821794852978766,,1.4474702513612157,0.8456952836998013,0.9656350321880438,1.110572428620012,1.2976030999304655
2009q3,1.0997350388997285,1.4369067887300568,1.0847890520376933,0.8472229075984729,0.9079865119370555,0.7697244617673947,1.2694317956806114,0.7915919549191159,0.8650776242108117,1.5904542125953534,0.9397198556950531,0.9896296164632885,1.130504724265783,
2009q4,1.137881467725674,1.5240720864995794,1.1164040706701814,0.8642834353006705,0.9078141759595572,0.7859027772687242,1.3162333037322678,0.847494282296884,0.8026702943173067,1.692399922427505,0.9157037589607088,1.0109124310220632,1.1012007135398045,1.326593086625207
2010q1,1.1623623189011127,1.5897665934753877,1.0823614228378915,0.8730027064980928,0.9462877272241462,0.7817765978205057,1.3536988435938395,0.8445327982265197,0.8040327427668349,1.614611527700566,0.9370382238899325,1.0000157059695403,1.094980069870574,1.6039566379367127
2010q2,1.1735939216964233,1.6136872768416184,1.1334941752454042,0.9095375438454888,0.9753229243383894,0.7841767712361766,1.392428325410898,0.8615857621977256,0.8232935687013172,1.563623885672381,0.9307613689982195,0.970366512972901,1.0438062291295431,1.4797312009291241
2010q3,1.2184377960148978,1.680988512421624,1.1468649996188218,0.8901531378056448,0.959079714899148,0.7751531437000859,1.4720173766815179,0.8297174682909911,0.8679496260997657,1.6839859591158357,0.9614044182839818,0.9884921211961484,1.220141832652496,1.5574100241181974
2010q4,1.2588547473924487,1.7446378982827844,1.1474761067246408,0.8969615678069973,0.985090708801272,0.8036083584398593,1.5414390391814596,0.9805940777016621,0.8514525360014812,1.3855922680468693,0.9752764386372326,1.0507062246664627,1.2517427367366192,1.6530130832147727
2011q1,1.2904360906422083,,1.162081136674602,0.8912897091738238,0.9995665795188057,0.8455734236295608,1.6213160072028305,0.9381576540588429,0.7449187400890277,1.6401134661828591,1.047532474289019,1.053594054470754,1.2939857983672824,1.5825847401157662
2011q2,1.1750431226895224,1.6151655372540323,0.963885549752552,0.9114651171014438,1.0527346114563279,0.7566232883143739,1.5005062454342526,0.8832514712761449,0.7086392151180732,1.5307263062685812,1.0285446115407002,1.0236917272138177,1.2193511235403407,
2011q3,1.2133161910551833,1.6664313373647162,1.0503640832918848,0.9613972798365591,1.0140189508740451,0.8707772428932911,1.5112983585798314,0.87064255074323,0.7883193405832682,,1.2390130986534318,1.1243606329643632,1.2814076630165303,
2011q4,1.2254026853289826,1.6712801760464073,1.0748044533621486,0.9645904561129556,1.0324633038515532,0.8721140759559243,1.5573153206281403,0.8978060016502761,0.691896212163899,1.8572788478314664,1.0848946863947297,0.9771565483703257,1.2442711206357904,
2012q1,1.239258994085909,1.7155713872593699,1.1292288128108683,0.9600257004439838,0.9849080945980225,0.8656587753460722,1.6113435959935336,0.9334841538927219,0.6278102285258913,1.6215695975121822,1.0911519935647271,0.8195387930552339,1.1336257928850604,1.2400179233279112
2012q2,1.3104478748774886,1.8317217359093236,1.1468364918456513,0.9855317928117472,1.1005929624834547,0.9066076501862438,1.6723511684780876,0.9366211361609719,,1.6195741867677123,1.170300107924804,,1.2368241112344227,
2012q3,1.2971375572611645,1.8066121752689137,1.131260840094889,0.9989289483815452,1.0981010417893222,0.8726634001130273,1.7233300457940495,0.985004197595388,0.6707933875871025,1.9304323902154414,1.0181105060197566,0.7661448556207682,1.2971375572611645,1.2971375572611645
