quarter,cathay_all
2000Q1,0.9706110503058061
2000Q2,0.9945138603205156
2000Q3,0.9759013648556132
2000Q4,0.9839332312209015
2001Q1,1.0
2001Q2,0.9314262900549676
2001Q3,0.95513327494
2001Q4,0.9022331654904509
2002Q1,0.8726483906665796
2002Q2,0.8714734398885164
2002Q3,0.8840123202849027
2002Q4,0.8830331946365166
2003Q1,0.8889094665510945
2003Q2,0.8691220203081286
2003Q3,0.8949845996438716
2003Q4,0.9006650464287721
2004Q1,0.9079151302996125
2004Q2,0.9664956865340623
2004Q3,0.9533693307486439
2004Q4,0.9725693016025782
2005Q1,0.9762930151149676
2005Q2,0.9778596161523854
2005Q3,0.9543484563970301
2005Q4,0.9958846362282562
2006Q1,1.031934676379998
2006Q2,1.0195916211132885
2006Q3,1.0444750748006455
2006Q4,1.0574056054563865
2007Q1,1.1216681264999977
2007Q2,1.1338153566370297
2007Q3,1.1496863002864512
2007Q4,1.1884794102779352
2008Q1,1.1824057952094191
2008Q2,1.2251169258187085
2008Q3,1.229034946436514
2008Q4,1.2176710168181908
2009Q1,1.1285265601114838
2009Q2,1.16927792139974
2009Q3,1.1628126560718695
2009Q4,1.2398114006658054
2010Q1,1.283503174947742
2010Q2,1.3217072915259331
2010Q3,1.350117115571741
2010Q4,1.3832282607540634
2011Q1,1.4384782717597393
2011Q2,1.4870687103321287
2011Q3,1.4956895701107096
2011Q4,1.4619894315150945
2012Q1,1.5088159258961278
2012Q2,1.5954146559170308
2012Q3,1.5180242610637404
2012Q4,1.6138313262522561
2013Q1,1.6608536457629668
2013Q2,1.7029773009832243
2013Q3,1.7119898110211598
2013Q4,1.8213148822544485
2014Q1,1.7756648566757394
2014Q2,1.8091676521174163
2014Q3,1.8301315671627063
2014Q4,1.7964329465913527
2015Q1,1.7688079410885145
2015Q2,1.8093634772470937
2015Q3,1.7611662069583196
2015Q4,1.6475299468236102
2016Q1,1.43553937679032
2016Q2,1.3928282461810304
2016Q3,1.4976478214074818
2016Q4,1.4437685863095464
2017Q1,1.481386745522967
2017Q2,1.4825616963010304
2017Q3,1.4870687103321287
2017Q4,1.5638701117721263
2018Q1,1.5242937012619335
2018Q2,1.5605395665433524
2018Q3,1.5485881615359978
2018Q4,1.6420453251683869
2019Q1,1.6667314357018055
2019Q2,1.6622244216707072
2019Q3,1.693964790945289
2019Q4,1.7100300417001266
2020Q1,1.7470607255245154
2020Q2,1.8181801621553515
2020Q3,1.8542317203313543
2020Q4,1.8483539303925156
2021Q1,1.8646150062770306
2021Q2,1.8661831253387091
2021Q3,1.9363234363211594
2021Q4,2.0865972119966423
2022Q1,2.371668506006063
2022Q2,2.5143005475513514
2022Q3,2.589536865978192
2022Q4,2.6069728926407705
2023Q1,2.566221531352514
2023Q2,2.71629948189832
2023Q3,2.681816042783996
2023Q4,2.6878896578525118
2024Q1,2.7251161668065778
2024Q2,2.9077177871456743
2024Q3,3.1150055180181893
2024Q4,3.1506639079105763
2025Q1,3.1753515364682556
2025Q2,3.167513977208384
2025Q3,3.15908894255948
2025Q4,3.1845598716358685
