quarter,aife_all
2012Q3,1.0
2012Q4,1.0320249999999997
2013Q1,1.0807799999999999
2013Q2,1.138395
2013Q3,1.187154
2013Q4,1.223935
2014Q1,1.254281
2014Q2,1.278536
2014Q3,1.293213
2014Q4,1.300264
2015Q1,1.30756
2015Q2,1.308734
2015Q3,1.295518
2015Q4,1.281659
2016Q1,1.275129
2016Q2,1.27972
2016Q3,1.2796600000000002
2016Q4,1.275663
2017Q1,1.278584
2017Q2,1.2847779999999998
2017Q3,1.2875
2017Q4,1.290651
2018Q1,1.29487
2018Q2,1.2998920000000003
2018Q3,1.304286
2018Q4,1.309824
2019Q1,1.320903
2019Q2,1.334161
2019Q3,1.345898
2019Q4,1.357181
2020Q1,1.369159
2020Q2,1.388966
2020Q3,1.419306
2020Q4,1.45458
2021Q1,1.4925249999999999
2021Q2,1.533115
2021Q3,1.595229
2021Q4,1.6814600000000002
2022Q1,1.763012
2022Q2,1.8141399999999999
2022Q3,1.835998
2022Q4,1.8469189999999998
2023Q1,1.871573
2023Q2,1.909835
2023Q3,1.9526619999999997
2023Q4,2.008079
2024Q1,2.086533
2024Q2,2.166866
2024Q3,2.198542
2024Q4,2.190188
2025Q1,2.172996
2025Q2,2.148774
2025Q3,2.128291
2025Q4,2.126556
